time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
369,0,1,1072.69,2.97,103,51.449061,5.498329,19.00,164,2
370,0,1,1075.72,2.75,103,51.449035,5.498349,19.00,164,6
371,0,1,1078.94,2.87,103,51.449011,5.498369,19.00,164,6
372,0,1,1082.17,2.88,103,51.448986,5.498388,19.00,165,2
373,0,1,1085.08,2.96,104,51.448963,5.498407,19.00,165,2
374,0,1,1088.26,2.77,104,51.448939,5.498426,19.00,165,3
375,0,1,1091.47,2.80,104,51.448916,5.498445,19.00,165,3
376,0,1,1094.33,2.59,105,51.448893,5.498463,19.00,164,3
377,0,1,1097.24,2.42,105,51.448871,5.498482,18.00,164,2
378,0,1,1100.25,2.52,105,51.448849,5.498501,18.00,164,3
379,0,1,1103.00,2.42,105,51.448826,5.498520,18.00,164,2
380,0,1,1105.84,2.38,106,51.448804,5.498540,18.00,164,3
381,0,1,1108.61,2.31,106,51.448782,5.498560,18.00,164,3
382,0,1,1111.13,2.60,106,51.448760,5.498581,18.00,164,2
383,0,1,1114.32,2.73,106,51.448738,5.498603,18.00,164,3
384,0,1,1117.48,2.70,107,51.448716,5.498625,18.00,164,3
385,0,1,1119.52,2.60,107,51.448693,5.498648,18.00,164,2
386,0,1,1122.52,2.54,107,51.448670,5.498672,18.00,164,3
387,0,1,1125.79,2.80,108,51.448647,5.498696,18.00,164,3
388,0,1,1128.57,2.84,108,51.448623,5.498721,18.00,164,2
389,0,1,1131.86,2.85,108,51.448599,5.498746,18.00,164,2
390,0,1,1135.10,2.95,108,51.448574,5.498771,18.00,163,3
391,0,1,1137.79,3.03,109,51.448549,5.498796,18.00,164,3
392,0,1,1141.10,3.08,109,51.448523,5.498821,18.00,164,2
393,0,1,1144.42,3.09,109,51.448497,5.498843,18.00,163,3
394,0,1,1147.49,3.05,110,51.448471,5.498864,18.00,164,3
395,0,1,1150.58,2.86,110,51.448445,5.498883,17.00,164,2
396,0,1,1153.72,2.91,110,51.448419,5.498899,17.00,164,3
397,0,1,1157.33,3.03,110,51.448392,5.498914,17.00,164,3
398,0,1,1160.50,2.94,111,51.448365,5.498927,17.00,164,2
399,0,1,1163.87,3.14,111,51.448339,5.498939,17.00,164,3
400,0,1,1166.90,3.06,111,51.448312,5.498950,17.00,164,5
401,0,1,1170.08,2.95,112,51.448285,5.498960,17.00,164,5
402,0,1,1173.27,2.93,112,51.448258,5.498969,17.00,163,4
403,0,1,1176.46,2.70,112,51.448231,5.498979,17.00,163,1
404,0,1,1179.47,2.75,113,51.448205,5.498989,17.00,163,3
